Carl Schmertmann,,Complete Set of CT & QS Fits to 226 5-year schedules,,,,,,,,,,,,,,,,,,
26 May 2003,,Source for Original Data: US Census International Database,,,,,,,,,,,,,,,,,,
,,http://www.census.gov/ipc/www/idbacc.html    [downloaded on 17 June 2002],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,US Census Data Base (1000 5fx),,,,,,,,,COALE-TRUSSELL FIT,,,,,,QS FIT,,,,
2002 SCHEDULE,TFR,5f15,5f20,5f25,5f30,5f35,5f40,5f45,,tfr,a0,k,m,RE,,R,alpha,P,H,RE
Jamaica,2.05,36.1,91.4,121.5,95.1,44.1,18.2,2.9,,2.05,10.4,3.60,2.19,5.6,,0.126,9.3,27.7,35.5,2.4
Japan,1.42,4.2,40.8,111.5,95.5,28.2,3.5,0.2,,1.43,19.4,1.92,3.62,11.0,,0.125,17.1,30.0,34.5,1.5
Jersey,1.57,14.5,56.8,92.8,102.2,39.7,7.3,0.6,,1.58,15.7,2.73,2.48,16.9,,0.112,10.0,31.4,36.0,4.5
Jordan,3.15,17.9,123.1,174.1,158.4,107.8,43.6,4.7,,3.17,14.6,0.89,0.62,2.3,,0.182,14.9,27.0,38.7,4.3
Kazakhstan,2.12,46.3,157.1,122.2,63.2,27.7,6.1,0.6,,2.12,14.7,0.50,1.71,0.9,,0.165,15.3,22.6,30.6,1.2
Kenya,3.34,65.1,164.0,172.6,146.2,76.7,33.7,9.6,,3.34,9.5,1.36,1.00,5.0,,0.186,10.9,25.4,36.5,4.8
Kiribati,4.32,58.5,191.2,222.7,189.8,133.4,55.8,12.4,,4.31,12.8,0.82,0.49,1.4,,0.230,12.7,25.7,38.6,2.4
N Korea,2.22,2.9,67.9,258.4,89.9,19.4,4.5,1.0,,2.20,21.4,0.41,3.69,1.3,,0.343,23.7,24.4,29.7,2.2
S Korea,1.72,3.1,62.7,178.5,77.7,18.8,3.3,0.4,,1.69,20.8,2.28,5.96,2.6,,0.205,21.8,25.5,31.1,1.1
Kuwait,3.14,32.4,130.0,170.3,143.8,107.2,35.9,9.1,,3.15,12.9,1.02,0.65,3.3,,0.175,13.3,26.6,38.5,4.3
Kyrgyzstan,3.16,53.6,217.1,180.4,110.8,52.5,14.1,2.4,,3.17,15.4,0.42,1.29,2.2,,0.228,15.9,22.6,32.0,1.6
Laos,5.03,80.8,219.6,254.2,214.3,148.5,67.0,22.2,,4.98,11.5,0.94,0.51,1.7,,0.260,11.4,25.8,38.6,2.1
Latvia,1.18,20.0,85.2,71.0,38.7,15.7,4.3,0.4,,1.18,15.0,0.53,1.68,1.6,,0.091,15.6,23.1,31.1,1.1
Lebanon,2.02,14.2,77.6,134.1,108.7,47.5,17.8,3.2,,1.99,15.3,2.42,2.59,5.1,,0.141,14.1,28.7,35.4,1.9
Lesotho,4.01,50.8,194.5,209.5,172.6,114.1,48.6,11.8,,3.99,14.3,0.58,0.50,2.0,,0.221,14.3,24.6,37.7,2.1
Liberia,6.29,172.8,270.7,262.1,214.8,171.8,107.5,59.1,,6.05,16.4,0.01,0.03,7.2,,0.268,12.8,20.8,40.7,6.2
Libya,3.57,9.1,73.9,168.6,200.0,157.9,85.3,18.6,,3.52,15.9,1.07,0.30,3.6,,0.204,14.6,31.2,41.5,1.5
Liechtenstein,1.50,9.8,43.2,95.2,102.6,42.8,6.2,0.2,,1.50,18.0,2.10,2.70,15.3,,0.115,13.3,31.4,36.1,1.5
Lithuania,1.40,29.8,100.0,83.5,44.8,18.1,3.9,0.2,,1.41,13.8,0.68,1.80,1.7,,0.107,14.7,23.3,31.1,1.4
Luxembourg,1.70,10.0,63.1,118.3,96.1,38.0,12.8,1.9,,1.68,16.4,2.27,2.83,5.7,,0.125,14.6,29.0,35.1,1.5
Macau,1.32,6.8,44.1,99.6,75.2,28.8,7.8,0.6,,1.29,17.9,2.04,3.25,4.2,,0.104,16.4,28.9,34.6,3.3
Macedonia,1.77,15.6,80.5,121.9,89.2,34.1,11.2,1.7,,1.77,14.7,2.55,2.83,4.3,,0.128,13.8,27.9,34.4,2.6
Madagascar,5.77,172.1,269.0,247.7,209.5,146.7,84.5,23.9,,5.71,13.0,0.32,0.20,3.0,,0.271,14.0,20.0,38.8,2.0
Malawi,5.04,110.2,211.7,218.2,200.9,143.5,84.0,39.2,,4.92,11.9,0.55,0.07,5.0,,0.225,9.4,24.2,40.7,4.0
Malaysia,3.18,16.4,121.0,202.1,168.6,93.9,31.4,3.2,,3.19,14.4,1.70,1.75,1.3,,0.210,15.0,28.1,36.5,2.2
Maldives,5.38,100.5,231.6,263.8,222.5,155.5,75.9,26.2,,5.32,10.4,1.00,0.45,2.7,,0.268,9.8,25.7,39.0,1.6
Mali,6.73,184.3,298.7,300.7,247.7,204.3,90.3,20.8,,6.80,10.1,0.63,0.17,2.7,,0.310,7.7,23.6,39.7,3.1
Malta,1.91,17.2,79.4,141.6,95.2,40.0,8.6,0.4,,1.90,16.0,2.32,3.08,4.2,,0.144,14.3,28.3,34.3,4.1
Isle of Man,1.65,9.7,61.0,114.3,93.0,36.8,12.6,1.9,,1.63,16.6,2.49,2.96,5.9,,0.121,14.6,29.0,35.1,1.6
Marshall Isl,6.49,141.7,346.9,316.6,225.9,162.4,79.1,25.4,,6.39,14.8,0.32,0.48,3.3,,0.352,15.5,20.9,36.5,3.3
Martinique,1.79,20.1,67.1,112.3,99.1,46.2,12.7,1.4,,1.79,14.3,2.76,2.36,7.9,,0.121,11.4,29.5,35.9,1.6
Mauritania,6.15,127.3,221.2,264.4,256.0,215.3,113.0,32.9,,6.18,5.0,1.46,0.06,2.2,,0.272,1.9,28.2,41.9,3.0
Mauritius,2.00,30.4,112.8,126.7,83.3,35.4,9.7,0.9,,2.01,11.8,1.63,2.04,2.6,,0.137,13.3,25.7,33.5,2.9
Mayotte,6.15,232.4,290.5,295.4,197.3,119.3,50.4,45.6,,6.23,0.0,1.56,0.79,8.2,,0.310,0.0,23.7,35.3,6.3
Mexico,2.57,42.2,114.2,145.7,118.6,64.7,25.3,4.1,,2.58,9.3,3.45,1.90,2.6,,0.151,10.2,27.2,36.4,1.8
