"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"householdDemography v.1.1 - kinship tabu for new couples.nlogo"
"exp-endstates"
"09/28/2025 23:09:47:634 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","type-of-experiment","exp-number","SEED","[step]","exp-number","SEED","maturity-age","initial-num-households","household-initial-age-distribution","max-couple-count-distribution","cdmlt-level","coale-demeny-region","c1-fert","mu-fert","sigma1-fert","sigma2-fert","residence-rule","acceptable-kinship-degree-for-couples","c1-women","c1-men","mu-women","mu-men","sigma1-women","sigma1-men","sigma2-women","sigma2-men","totalHouseholds","totalIndividuals","totalPopulationGrowth","totalWomen","totalMen","femaleRatio","womenAgeStructure","menAgeStructure","womenFirstAgeGroup","menFirstAgeGroup","womenBirths","menBirths","womenDeaths","menDeaths","womenIn","menIn","womenOut","menOut","totalOrphans"
"47","defined by exp-number","16","1","0","16","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"49","defined by exp-number","17","0","0","17","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"51","defined by exp-number","17","2","0","17","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"50","defined by exp-number","17","1","0","17","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"52","defined by exp-number","18","0","0","18","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"53","defined by exp-number","18","1","0","18","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"55","defined by exp-number","19","0","0","19","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"56","defined by exp-number","19","1","0","19","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"54","defined by exp-number","18","2","0","18","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"57","defined by exp-number","19","2","0","19","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"58","defined by exp-number","20","0","0","20","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"60","defined by exp-number","20","2","0","20","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"59","defined by exp-number","20","1","0","20","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
