"BehaviorSpace results (NetLogo 6.0.4)"
"SIMPLE-crop-model.nlogo"
"experiment"
"01/13/2020 17:50:15:119 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","precipitation_daily-cum_rate2_yearly-mean","CO2-mean","solar_annual-min","precipitation_daily-cum_rate2_yearly-sd","CO2-daily-fluctuation","seed","precipitation_yearly-sd","solar_annual-max","precipitation_daily-cum_plateau-value_yearly-sd","precipitation_daily-cum_n-sample","precipitation_daily-cum_inflection1_yearly-sd","CO2-annual-deviation","precipitation_daily-cum_max-sample-size","precipitation_daily-cum_inflection2_yearly-sd","precipitation_daily-cum_inflection2_yearly-mean","temperature_daily-mean-fluctuation","temperature_annual-min-at-2m","solar_daily-mean-fluctuation","temperature_daily-lower-deviation","temperature_annual-max-at-2m","temperature_daily-upper-deviation","end-simulation-in-tick","precipitation_yearly-mean","precipitation_daily-cum_inflection1_yearly-mean","precipitation_daily-cum_rate1_yearly-mean","display-mode","precipitation_daily-cum_plateau-value_yearly-mean","precipitation_daily-cum_rate1_yearly-sd","type-of-experiment","[step]","T","T_max","T_min","RAIN","solarRadiation","ET_0","mean [WATp] of patches","mean [ARID] of patches","mean [biomass] of patches with [position crop typesOfCrops = 0]","mean [biomass] of patches with [position crop typesOfCrops = 1]","mean [yield] of patches with [position crop typesOfCrops = 0]","mean [yield] of patches with [position crop typesOfCrops = 1]"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","37","16.140175292883427","21.140175292883427","11.140175292883427","0","9.050337285152306","2.527357627680177","0.09356777296690996","0.4358187833678045","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","38","17.90958618699978","22.90958618699978","12.909586186999778","0","9.599044017172933","2.7333404814925952","0.09034526676208614","0.528414959403279","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","39","8.572486445894393","13.572486445894393","3.572486445894393","5.191916197655778","15.517775512189026","2.845351779737947","0.09916585175962861","0.4152982381699367","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","40","19.464124188248814","24.464124188248814","14.464124188248814","0","14.623838215882454","3.7175555142805723","0.09540592999070435","0.5954414932628742","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","41","15.652293514614943","20.652293514614943","10.652293514614943","0","9.520252159400727","2.5705994010223763","0.09200696071159667","0.47110089922906945","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","42","16.27901626041634","21.27901626041634","11.279016260416341","0","12.893188382515602","3.1596500616118806","0.08893429248328366","0.611011578067512","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","43","18.629130872596722","23.629130872596722","13.629130872596722","0","13.623756963384922","3.4738352526237146","0.08615660040488766","0.680158455839576","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","44","14.45277167007917","19.45277167007917","9.45277167007917","0","6.732425662079269","2.059701374092411","0.08364556676601893","0.5123499609304855","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","45","19.57531698512942","24.57531698512942","14.575316985129419","0","8.823012472786559","2.70392159749845","0.08137559235648058","0.6641952323413703","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","46","15.294942105135032","20.294942105135032","10.294942105135032","0","8.071013241929393","2.317736679432198","0.07932353549025804","0.6458515957516164","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","47","30.36268383660839","35.36268383660839","25.36268383660839","0","6.357601646197913","2.7426629597223853","0.07746847608319386","0.7294513493918142","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","48","16.81368887996217","21.81368887996217","11.813688879962172","0","12.273984966536219","3.1011635517364144","0.0757915023792073","0.7836974830885506","0","0","0","0"
